ID de la cuenta;Estado de la cuenta;Imprimir (total);Imprimir (a todo color);Imprimir (a todo color) - Nivel 1;Imprimir (a todo color) - Nivel 2;Imprimir (a todo color) - Nivel 3;Imprimir (un solo color);Imprimir (blanco y negro);Copia (total);Copia (a todo color);Copia (a todo color) - Nivel 1;Copia (a todo color) - Nivel 2;Copia (a todo color) - Nivel 3;Copia (un solo color);Copia (blanco y negro);Recibir FAX;Escanear (total);Escanear (copia);Escanear (FAX);Escanear (en otro);Páginas de transmisión de FAX;Tiempo de transmisión del FAX;Marca de tiempo
"1278";"Normal";"690";"";"";"";"";"";"690";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1303";"Normal";"226";"";"";"";"";"";"226";"0";"";"";"";"";"";"0";"0";"27";"0";"0";"27";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1305";"Normal";"2070";"";"";"";"";"";"2070";"6";"";"";"";"";"";"6";"0";"5";"5";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1306";"Normal";"36";"";"";"";"";"";"36";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1313";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1423";"Normal";"90";"";"";"";"";"";"90";"0";"";"";"";"";"";"0";"0";"70";"0";"0";"70";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1472";"Normal";"20";"";"";"";"";"";"20";"0";"";"";"";"";"";"0";"0";"1";"0";"0";"1";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1491";"Normal";"150";"";"";"";"";"";"150";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1504";"Normal";"61";"";"";"";"";"";"61";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1510";"Normal";"8778";"";"";"";"";"";"8778";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1606";"Normal";"99";"";"";"";"";"";"99";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1611";"Normal";"29";"";"";"";"";"";"29";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1612";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1614";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1706";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1707";"Normal";"108";"";"";"";"";"";"108";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1709";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1758";"Normal";"744";"";"";"";"";"";"744";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1767";"Normal";"142";"";"";"";"";"";"142";"10";"";"";"";"";"";"10";"0";"10";"10";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1803";"Normal";"111";"";"";"";"";"";"111";"0";"";"";"";"";"";"0";"0";"24";"0";"0";"24";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1903";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1917";"Normal";"10";"";"";"";"";"";"10";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1935";"Normal";"71";"";"";"";"";"";"71";"50";"";"";"";"";"";"50";"0";"16";"10";"0";"6";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1937";"Normal";"15";"";"";"";"";"";"15";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1952";"Normal";"330";"";"";"";"";"";"330";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1967";"Normal";"56";"";"";"";"";"";"56";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1970";"Normal";"1124";"";"";"";"";"";"1124";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1973";"Normal";"113";"";"";"";"";"";"113";"44";"";"";"";"";"";"44";"0";"22";"22";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1975";"Normal";"24";"";"";"";"";"";"24";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1978";"Normal";"130";"";"";"";"";"";"130";"2";"";"";"";"";"";"2";"0";"1";"1";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
