ID de la cuenta;Estado de la cuenta;Imprimir (total);Imprimir (a todo color);Imprimir (a todo color) - Nivel 1;Imprimir (a todo color) - Nivel 2;Imprimir (a todo color) - Nivel 3;Imprimir (un solo color);Imprimir (blanco y negro);Copia (total);Copia (a todo color);Copia (a todo color) - Nivel 1;Copia (a todo color) - Nivel 2;Copia (a todo color) - Nivel 3;Copia (un solo color);Copia (blanco y negro);Recibir FAX;Escanear (total);Escanear (copia);Escanear (FAX);Escanear (en otro);Páginas de transmisión de FAX;Tiempo de transmisión del FAX;Marca de tiempo
"6281";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6336";"Normal";"105";"";"";"";"";"";"105";"1";"";"";"";"";"";"1";"0";"1";"1";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6568";"Normal";"261";"";"";"";"";"";"261";"8";"";"";"";"";"";"8";"0";"97";"8";"0";"89";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6754";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6784";"Normal";"12";"";"";"";"";"";"12";"269";"";"";"";"";"";"269";"0";"53";"53";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6871";"Normal";"126";"";"";"";"";"";"126";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7005";"Normal";"1";"";"";"";"";"";"1";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7007";"Normal";"111";"";"";"";"";"";"111";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7012";"Normal";"174";"";"";"";"";"";"174";"13";"";"";"";"";"";"13";"0";"33";"8";"0";"25";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7021";"Normal";"98";"";"";"";"";"";"98";"6";"";"";"";"";"";"6";"0";"8";"6";"0";"2";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7026";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7032";"Normal";"136";"";"";"";"";"";"136";"1";"";"";"";"";"";"1";"0";"5";"1";"0";"4";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7033";"Normal";"8";"";"";"";"";"";"8";"0";"";"";"";"";"";"0";"0";"18";"0";"0";"18";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7034";"Normal";"58";"";"";"";"";"";"58";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7035";"Normal";"0";"";"";"";"";"";"0";"12";"";"";"";"";"";"12";"0";"12";"12";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7036";"Normal";"24";"";"";"";"";"";"24";"0";"";"";"";"";"";"0";"0";"26";"0";"0";"26";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7045";"Normal";"157";"";"";"";"";"";"157";"1";"";"";"";"";"";"1";"0";"6";"1";"0";"5";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7066";"Normal";"4";"";"";"";"";"";"4";"0";"";"";"";"";"";"0";"0";"17";"0";"0";"17";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7067";"Normal";"406";"";"";"";"";"";"406";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7082";"Normal";"192";"";"";"";"";"";"192";"2";"";"";"";"";"";"2";"0";"28";"2";"0";"26";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7087";"Normal";"56";"";"";"";"";"";"56";"0";"";"";"";"";"";"0";"0";"8";"0";"0";"8";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7091";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7094";"Normal";"356";"";"";"";"";"";"356";"0";"";"";"";"";"";"0";"0";"15";"0";"0";"15";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7097";"Normal";"29";"";"";"";"";"";"29";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7121";"Normal";"174";"";"";"";"";"";"174";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7214";"Normal";"215";"";"";"";"";"";"215";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7216";"Normal";"78";"";"";"";"";"";"78";"0";"";"";"";"";"";"0";"0";"52";"0";"0";"52";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7496";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7532";"Normal";"68";"";"";"";"";"";"68";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7605";"Normal";"143";"";"";"";"";"";"143";"1";"";"";"";"";"";"1";"0";"24";"1";"0";"23";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7777";"Normal";"1";"";"";"";"";"";"1";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7811";"Normal";"3";"";"";"";"";"";"3";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7894";"Normal";"0";"";"";"";"";"";"0";"88";"";"";"";"";"";"88";"0";"54";"54";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"7907";"Normal";"16";"";"";"";"";"";"16";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8005";"Normal";"127";"";"";"";"";"";"127";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8008";"Normal";"88";"";"";"";"";"";"88";"2";"";"";"";"";"";"2";"0";"5";"5";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8010";"Normal";"289";"";"";"";"";"";"289";"25";"";"";"";"";"";"25";"0";"16";"16";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8011";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8014";"Normal";"70";"";"";"";"";"";"70";"2";"";"";"";"";"";"2";"0";"1";"1";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8020";"Normal";"267";"";"";"";"";"";"267";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8023";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8025";"Normal";"91";"";"";"";"";"";"91";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8030";"Normal";"476";"";"";"";"";"";"476";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8033";"Normal";"99";"";"";"";"";"";"99";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8035";"Normal";"327";"";"";"";"";"";"327";"20";"";"";"";"";"";"20";"0";"17";"17";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8036";"Normal";"0";"";"";"";"";"";"0";"6";"";"";"";"";"";"6";"0";"3";"3";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8040";"Normal";"331";"";"";"";"";"";"331";"18";"";"";"";"";"";"18";"0";"12";"12";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8044";"Normal";"30";"";"";"";"";"";"30";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8049";"Normal";"48";"";"";"";"";"";"48";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8050";"Normal";"264";"";"";"";"";"";"264";"24";"";"";"";"";"";"24";"0";"11";"11";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8051";"Normal";"101";"";"";"";"";"";"101";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8058";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8060";"Normal";"206";"";"";"";"";"";"206";"8";"";"";"";"";"";"8";"0";"4";"4";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8064";"Normal";"126";"";"";"";"";"";"126";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8070";"Normal";"167";"";"";"";"";"";"167";"4";"";"";"";"";"";"4";"0";"2";"2";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8074";"Normal";"667";"";"";"";"";"";"667";"2";"";"";"";"";"";"2";"0";"3";"3";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8078";"Normal";"47";"";"";"";"";"";"47";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8081";"Normal";"605";"";"";"";"";"";"605";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8085";"Normal";"104";"";"";"";"";"";"104";"36";"";"";"";"";"";"36";"0";"8";"8";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8090";"Normal";"91";"";"";"";"";"";"91";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8098";"Normal";"131";"";"";"";"";"";"131";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8207";"Normal";"47";"";"";"";"";"";"47";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8346";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8888";"Normal";"89";"";"";"";"";"";"89";"6";"";"";"";"";"";"6";"0";"6";"5";"0";"1";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8899";"Normal";"199";"";"";"";"";"";"199";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"8919";"Normal";"125";"";"";"";"";"";"125";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9000";"Normal";"370";"";"";"";"";"";"370";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9001";"Normal";"138";"";"";"";"";"";"138";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9002";"Normal";"610";"";"";"";"";"";"610";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9003";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9004";"Normal";"2015";"";"";"";"";"";"2015";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9005";"Normal";"484";"";"";"";"";"";"484";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9009";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9010";"Normal";"77";"";"";"";"";"";"77";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9608";"Normal";"467";"";"";"";"";"";"467";"13";"";"";"";"";"";"13";"0";"249";"6";"0";"243";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9736";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9815";"Normal";"167";"";"";"";"";"";"167";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9868";"Normal";"13";"";"";"";"";"";"13";"2";"";"";"";"";"";"2";"0";"8";"2";"0";"6";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9905";"Normal";"294";"";"";"";"";"";"294";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"12345";"Normal";"4";"";"";"";"";"";"4";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"15160";"Normal";"119";"";"";"";"";"";"119";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"15287";"Normal";"8";"";"";"";"";"";"8";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"15975";"Normal";"19";"";"";"";"";"";"19";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"17425";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"19932";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"20250";"Normal";"181";"";"";"";"";"";"181";"0";"";"";"";"";"";"0";"0";"77";"0";"0";"77";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"20251";"Normal";"2";"";"";"";"";"";"2";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"21121";"Normal";"56";"";"";"";"";"";"56";"2";"";"";"";"";"";"2";"0";"73";"2";"0";"71";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"25049";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"25257";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"25366";"Normal";"310";"";"";"";"";"";"310";"0";"";"";"";"";"";"0";"0";"136";"0";"0";"136";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"30111";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"44444";"Normal";"231";"";"";"";"";"";"231";"0";"";"";"";"";"";"0";"0";"45";"0";"0";"45";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"052919";"Normal";"786";"";"";"";"";"";"786";"1";"";"";"";"";"";"1";"0";"14";"1";"0";"13";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"54321";"Normal";"89";"";"";"";"";"";"89";"24";"";"";"";"";"";"24";"0";"101";"36";"0";"65";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"67890";"Normal";"3";"";"";"";"";"";"3";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"70665";"Normal";"599";"";"";"";"";"";"599";"6";"";"";"";"";"";"6";"0";"57";"5";"0";"52";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"77777";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"80262";"Normal";"23";"";"";"";"";"";"23";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"85020";"Normal";"208";"";"";"";"";"";"208";"8";"";"";"";"";"";"8";"0";"286";"4";"0";"282";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"88888";"Normal";"7";"";"";"";"";"";"7";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"092312";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"92312";"Normal";"340";"";"";"";"";"";"340";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"97052";"Normal";"23";"";"";"";"";"";"23";"2";"";"";"";"";"";"2";"0";"3";"2";"0";"1";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"100425";"Normal";"82";"";"";"";"";"";"82";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"100591";"Normal";"365";"";"";"";"";"";"365";"5";"";"";"";"";"";"5";"0";"20";"1";"0";"19";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"123456";"Normal";"63";"";"";"";"";"";"63";"22";"";"";"";"";"";"22";"0";"11";"11";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"131313";"Normal";"192";"";"";"";"";"";"192";"0";"";"";"";"";"";"0";"0";"20";"0";"0";"20";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"142533";"Normal";"0";"";"";"";"";"";"0";"2";"";"";"";"";"";"2";"0";"19";"1";"0";"18";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"150828";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"170195";"Normal";"147";"";"";"";"";"";"147";"2";"";"";"";"";"";"2";"0";"9";"2";"0";"7";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"181818";"Normal";"19";"";"";"";"";"";"19";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"191919";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"202130";"Normal";"30";"";"";"";"";"";"30";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"202526";"Normal";"509";"";"";"";"";"";"509";"2";"";"";"";"";"";"2";"0";"416";"2";"0";"414";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"232025";"Normal";"49";"";"";"";"";"";"49";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"240114";"Normal";"97";"";"";"";"";"";"97";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"320121";"Normal";"0";"";"";"";"";"";"0";"7";"";"";"";"";"";"7";"0";"55";"3";"0";"52";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"333333";"Normal";"80";"";"";"";"";"";"80";"23";"";"";"";"";"";"23";"0";"34";"15";"0";"19";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"425529";"Normal";"281";"";"";"";"";"";"281";"4";"";"";"";"";"";"4";"0";"215";"5";"0";"210";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"458501";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"5";"0";"0";"5";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"555555";"Normal";"116";"";"";"";"";"";"116";"0";"";"";"";"";"";"0";"0";"1";"0";"0";"1";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"654321";"Normal";"342";"";"";"";"";"";"342";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"666666";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"741836";"Normal";"182";"";"";"";"";"";"182";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"808080";"Normal";"6";"";"";"";"";"";"6";"143";"";"";"";"";"";"143";"0";"110";"45";"0";"65";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"820408";"Normal";"169";"";"";"";"";"";"169";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"999999";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1234567";"Normal";"249";"";"";"";"";"";"249";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2025432";"Normal";"329";"";"";"";"";"";"329";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2025805";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2025807";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2025809";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"02132856";"Normal";"336";"";"";"";"";"";"336";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"9101112";"Normal";"50";"";"";"";"";"";"50";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"16684502";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"76314865";"Normal";"310";"";"";"";"";"";"310";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"Other";"Normal";"444";"";"";"";"";"";"444";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
